poster_url;rt_audience_score;rt_score;genres;Genre_1;Genre_2;Genre_3;imdb_rating;length;rank_in_year;rating;release_date;studio;title;worldwide_gross;year
http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg;4.3;7.5;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;7.8;136;7;PG-13;4-Apr-14;Marvel Studios;Captain America: The Winter Soldier;714766572;2014
http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg;4.2;7.9;"Sci-Fi
Drama
Action";Sci-Fi;Drama;Action;7.7;130;9;PG-13;11-Jul-14;20th Century Fox;Dawn of the Planet of the Apes;708835589;2014
http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg;4.4;7.7;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;8.1;121;3;PG-13;1-Aug-14;Marvel Studios;Guardians of the Galaxy;774176600;2014
http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg;3.8;5.7;"Family
Adventure
Action";Family;Adventure;Action;7.1;97;4;PG;30-May-14;Walt Disney Pictures;Maleficent;758654942;2014
http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg;3.7;5.9;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;6.9;142;8;PG-13;2-May-14;Columbia Pictures;The Amazing Spider-Man 2;709582323;2014
http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg;3.3;3.9;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;5.8;165;1;PG-13;27-Jun-14;Paramount Pictures;Transformers: Age of Extinction;1091404499;2014
http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg;4.3;7.6;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;8.1;131;6;PG-13;23-May-14;20th Century Fox;X-Men: Days of Future Past;748121534;2014
http://resizing.flixster.com/UFoFQEayDyhzauy9wL-1wGTuKJA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/21/11172174_ori.jpg;4.2;6.6;"Family
Comedy
Animation";Family;Comedy;Animation;7.5;98;3;PG;3-Jul-13;Universal / Illumination;Despicable Me 2;970761885;2013
http://resizing.flixster.com/FsHv4OrR7Fk9IQkc3Jg-Npmypzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/33/11173373_ori.jpg;4.2;6.2;"Thriller
Crime
Action";Thriller;Crime;Action;7.2;130;6;PG-13;24-May-13;Universal;Fast & Furious 6;788679850;2013
http://resizing.flixster.com/M3JgYWjuLaOPruIuhLfHA0GwmtY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/35/11173584_ori.jpg;4.3;7.7;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;7.7;102;1;PG;27-Nov-13;Walt Disney Pictures;Frozen;1274219009;2013
http://resizing.flixster.com/5CbtiBSzqVjH_ckRVfzJvs-Ocns=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176450_ori.jpg;4.0;9.0;"Thriller
Sci-Fi
Western";Thriller;Sci-Fi;Western;7.9;91;8;PG-13;4-Oct-13;Warner Bros.;Gravity;716392705;2013
http://resizing.flixster.com/M8S0ACxWUYK8FJV9hJwnDGK41ZA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/05/11170594_ori.jpg;4.0;7.0;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;7.3;130;2;PG-13;3-May-13;Marvel Studios;Iron Man 3;1215439994;2013
http://resizing.flixster.com/YdjyBNFfxu1P1f06WcVgadZg8Ow=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/42/11174287_ori.jpg;3.9;6.2;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.2;143;9;PG-13;14-Jun-13;Warner Bros. / Legendary;Man of Steel;668045518;2013
http://resizing.flixster.com/68fO9SugBdM8ljYJJ32dYp0bs7Q=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/99/11169964_ori.jpg;4.0;6.8;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;7.4;104;7;G;21-Jun-13;Walt Disney Pictures / Pixar;Monsters University;743559607;2013
http://resizing.flixster.com/sLeSlSjBR_h2MiaJIA63bgyOeHI=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/26/11172694_ori.jpg;3.9;6.2;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.1;112;10;PG-13;8-Nov-13;Marvel Studios;Thor: The Dark World;644783140;2013
http://resizing.flixster.com/EhgnWr8tKMra_jgh43zALuCZ9Ig=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176781_ori.jpg;3.6;5.1;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.7;88;5;PG;13-Jul-12;Fox / Blue Sky;Ice Age: Continental Drift;877244782;2012
http://resizing.flixster.com/GMpkHH7EAcYqczhR8C146yEFbMs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169148_ori.jpg;3.8;6.8;"Comedy
Adventure
Animation";Comedy;Adventure;Animation;7.0;93;8;PG;8-Jun-12;Paramount / DreamWorks;Madagascar 3: Europe's Most Wanted;746921274;2012
http://resizing.flixster.com/aD0vhqdMHlg0_H5kGKx7lR_1LHU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168038_ori.jpg;3.8;6.1;"Sci-Fi
Comedy
Action";Sci-Fi;Comedy;Action;6.9;106;10;PG-13;25-May-12;Columbia;Men in Black 3;624026776;2012
http://resizing.flixster.com/r-jHJnq7IkHekLIFY6DWq7SzqZ8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/82/11168295_ori.jpg;4.1;8.2;"Thriller
Adventure
Action";Thriller;Adventure;Action;7.8;143;2;PG-13;9-Nov-12;MGM / Columbia;Skyfall;1108561013;2012
http://resizing.flixster.com/NPbllUZcrY9PEkGNHGxKBIgFdq8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167406_ori.jpg;3.9;6.7;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.1;136;7;PG-13;3-Jul-12;Columbia;The Amazing Spider-Man;757930663;2012
http://resizing.flixster.com/OmSu9IRUNKgrdmyE2uNhf0f0ToE=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/38/11163886_ori.jpg;4.4;8.0;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;8.2;143;1;PG-13;4-May-12;Marvel Studios;The Avengers;1518594910;2012
http://resizing.flixster.com/9zWAe7c1MPnVtaic66WXWomIkmI=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169337_ori.jpg;3.8;5.2;"Fantasy
Drama
Adventure";Fantasy;Drama;Adventure;5.6;115;6;PG-13;16-Nov-12;Lionsgate / Summit;The Twilight Saga: Breaking Dawn - Part 2;829685377;2012
http://resizing.flixster.com/2EEq8Qjx4aMkNdwlLypKTtnT1X4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/64/11156447_ori.jpg;3.3;5.5;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.3;106;10;G;24-Jun-11;Walt Disney Pictures / Pixar;Cars 2;559852396;2011
http://resizing.flixster.com/PzlJtyZZ_remAtYbrQ2_9t64B6k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/30/11173000_ori.jpg;4.0;6.4;"Thriller
Crime
Action";Thriller;Crime;Action;7.3;131;7;PG-13;29-Apr-11;Universal;Fast Five;626137675;2011
http://resizing.flixster.com/jfPLvubmRh830uyxPTHQ1-hgj9I=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163675_ori.jpg;4.3;8.3;"Mystery
Fantasy
Adventure";Mystery;Fantasy;Adventure;8.1;130;1;PG-13;15-Jul-11;Warner Bros.;Harry Potter and the Deathly Hallows - Part 2;1341511219;2011
